row_type,horizon,dataset,mae,rmse,n_results
event,d12,event_0.csv,0.409217314083,0.672720876567,1
event,d12,event_1.csv,,,0
event,d12,event_2.csv,,,0
event,d12,event_3.csv,,,0
event,d12,event_4.csv,,,0
event,d12,event_5.csv,,,0
event,d12,event_6.csv,,,0
event,d12,event_7.csv,,,0
event,d24,event_0.csv,0.383091178542,0.614928517577,1
event,d24,event_1.csv,0.364277398012,0.606844538361,1
event,d24,event_2.csv,0.370123847029,0.60917219358,1
event,d24,event_3.csv,0.353401458797,0.605484907398,1
event,d24,event_4.csv,0.350493566642,0.605302272511,1
event,d24,event_5.csv,0.351265098962,0.605338262052,1
event,d24,event_6.csv,0.350786198961,0.605324820236,1
event,d24,event_7.csv,0.351005461335,0.605328653727,1
event,d36,event_0.csv,0.396040921141,0.641612610183,1
event,d36,event_1.csv,0.380707788176,0.635634506361,1
event,d36,event_2.csv,0.382008483692,0.636651892023,1
event,d36,event_3.csv,0.366589774693,0.633790756551,1
event,d36,event_4.csv,0.363847455829,0.633634242113,1
event,d36,event_5.csv,0.364605208917,0.633670197502,1
event,d36,event_6.csv,0.364495447915,0.633671137225,1
event,d36,event_7.csv,0.364983771758,0.633691803236,1
event,d48,event_0.csv,0.405218995899,0.659329114364,1
event,d48,event_1.csv,0.392624795999,0.653092286274,1
event,d48,event_2.csv,0.390514878844,0.653388893274,1
event,d48,event_3.csv,0.373525662504,0.650456106142,1
event,d48,event_4.csv,0.37227261652,0.650388947577,1
event,d48,event_5.csv,0.372809068719,0.650414195233,1
event,d48,event_6.csv,0.372277955551,0.650393986018,1
event,d48,event_7.csv,0.373227558319,0.650454435941,1
horizon_avg,d12,AVERAGE,0.409217314083,0.672720876567,1
horizon_avg,d24,AVERAGE,0.359305526035,0.60721552068,8
horizon_avg,d36,AVERAGE,0.372909856515,0.635294643149,8
horizon_avg,d48,AVERAGE,0.381558941544,0.652239745603,8
overall_avg,ALL,AVERAGE,0.380747909544,0.6418676965,4
