model,row_type,horizon,dataset,mae,rmse,n_results
AIR,horizon_avg,d12,AVERAGE,0.599607749169,0.797913931936,8
AIR,horizon_avg,d24,AVERAGE,0.536654152607,0.725571088161,8
AIR,horizon_avg,d36,AVERAGE,0.546938145945,0.731051857569,8
AIR,horizon_avg,d48,AVERAGE,0.540717460925,0.772414587153,8
AIR,overall_avg,ALL,AVERAGE,0.555979377162,0.756737866205,4
GMAN,horizon_avg,d12,AVERAGE,0.604758283239,0.791877440451,8
GMAN,horizon_avg,d24,AVERAGE,0.728557535284,0.979098328447,8
GMAN,horizon_avg,d36,AVERAGE,0.701202308898,0.974269675981,8
GMAN,horizon_avg,d48,AVERAGE,0.744678901926,1.01650364994,8
GMAN,overall_avg,ALL,AVERAGE,0.694799257337,0.940437273705,4
PewLSTM,horizon_avg,d12,AVERAGE,0.385580469959,0.634821347401,8
PewLSTM,horizon_avg,d24,AVERAGE,0.336367023761,0.557319239773,8
PewLSTM,horizon_avg,d36,AVERAGE,0.397597341072,0.632064843033,8
PewLSTM,horizon_avg,d48,AVERAGE,0.479373409534,0.718715872084,8
PewLSTM,overall_avg,ALL,AVERAGE,0.399729561081,0.635730325572,4
Prophet,horizon_avg,d12,AVERAGE,0.409217314083,0.672720876567,1
Prophet,horizon_avg,d24,AVERAGE,0.359305526035,0.60721552068,8
Prophet,horizon_avg,d36,AVERAGE,0.372909856515,0.635294643149,8
Prophet,horizon_avg,d48,AVERAGE,0.381558941544,0.652239745603,8
Prophet,overall_avg,ALL,AVERAGE,0.380747909544,0.6418676965,4
UCDGPT,horizon_avg,d12,AVERAGE,0.374196519725,0.623239855535,8
UCDGPT,horizon_avg,d24,AVERAGE,0.344069287737,0.593351524744,8
UCDGPT,horizon_avg,d36,AVERAGE,0.335182498718,0.573965639386,8
UCDGPT,horizon_avg,d48,AVERAGE,0.344267427264,0.595004408194,8
UCDGPT,overall_avg,ALL,AVERAGE,0.349428933361,0.596390356965,4
UniST,horizon_avg,d12,AVERAGE,0.351420784215,0.599365848307,8
UniST,horizon_avg,d24,AVERAGE,0.347739576143,0.584297186253,8
UniST,horizon_avg,d36,AVERAGE,0.320864396298,0.540850314575,8
UniST,horizon_avg,d48,AVERAGE,0.371260663302,0.608285794496,8
UniST,overall_avg,ALL,AVERAGE,0.34782135499,0.583199785908,4
