model,row_type,horizon,dataset,mae,rmse,n_results
AIR,event,d12,event_6.csv,0.551865438542,0.796877350075,1
AIR,event,d24,event_6.csv,0.513753110906,0.717415923447,1
AIR,event,d36,event_6.csv,0.498036106647,0.711390044373,1
AIR,event,d48,event_6.csv,0.510412523188,0.756845287661,1
GMAN,event,d12,event_6.csv,0.586185711801,0.783205855992,1
GMAN,event,d24,event_6.csv,0.724887879942,0.981525125804,1
GMAN,event,d36,event_6.csv,0.711902905185,1.02039366418,1
GMAN,event,d48,event_6.csv,0.808525766736,1.14632497542,1
PewLSTM,event,d12,event_6.csv,0.351486996607,0.598667337424,1
PewLSTM,event,d24,event_6.csv,0.371344407875,0.659148036853,1
PewLSTM,event,d36,event_6.csv,0.347563185952,0.55501928805,1
PewLSTM,event,d48,event_6.csv,0.51842669596,0.789491365983,1
Prophet,event,d12,event_6.csv,,,0
Prophet,event,d24,event_6.csv,0.350786198961,0.605324820236,1
Prophet,event,d36,event_6.csv,0.364495447915,0.633671137225,1
Prophet,event,d48,event_6.csv,0.372277955551,0.650393986018,1
UCDGPT,event,d12,event_6.csv,0.350530548159,0.610618853426,1
UCDGPT,event,d24,event_6.csv,0.337740805052,0.592302848541,1
UCDGPT,event,d36,event_6.csv,0.304436124592,0.549465235145,1
UCDGPT,event,d48,event_6.csv,0.309099233913,0.572784268882,1
UniST,event,d12,event_6.csv,0.36877683004,0.628732010444,1
UniST,event,d24,event_6.csv,0.316230778938,0.553609223915,1
UniST,event,d36,event_6.csv,0.306739254883,0.515166243662,1
UniST,event,d48,event_6.csv,0.346223664056,0.59491676767,1
