model,row_type,horizon,dataset,mae,rmse,n_results
AIR,event,d12,event_0.csv,0.714830727992,0.862335162882,1
AIR,event,d12,event_1.csv,0.595878488385,0.799239950108,1
AIR,event,d12,event_2.csv,0.647614496663,0.812967592427,1
AIR,event,d12,event_3.csv,0.559537276215,0.795116539876,1
AIR,event,d12,event_4.csv,0.579234559969,0.765445985641,1
AIR,event,d12,event_5.csv,0.588370690214,0.766483319949,1
AIR,event,d12,event_6.csv,0.551865438542,0.796877350075,1
AIR,event,d12,event_7.csv,0.559530315373,0.784845554532,1
AIR,event,d24,event_0.csv,0.56051145714,0.743778234922,1
AIR,event,d24,event_1.csv,0.554807843099,0.729818199454,1
AIR,event,d24,event_2.csv,0.576117981353,0.741513399082,1
AIR,event,d24,event_3.csv,0.535631079367,0.717562833033,1
AIR,event,d24,event_4.csv,0.517457475878,0.716450370079,1
AIR,event,d24,event_5.csv,0.529272135949,0.716898112111,1
AIR,event,d24,event_6.csv,0.513753110906,0.717415923447,1
AIR,event,d24,event_7.csv,0.505682137168,0.72113163316,1
AIR,event,d36,event_0.csv,0.678192402639,0.822901051202,1
AIR,event,d36,event_1.csv,0.559863264911,0.726870553044,1
AIR,event,d36,event_2.csv,0.598111018418,0.749046871593,1
AIR,event,d36,event_3.csv,0.529190082056,0.708729790211,1
AIR,event,d36,event_4.csv,0.49888158897,0.707954991688,1
AIR,event,d36,event_5.csv,0.522427602163,0.707962184245,1
AIR,event,d36,event_6.csv,0.498036106647,0.711390044373,1
AIR,event,d36,event_7.csv,0.490803101753,0.713559374193,1
AIR,event,d48,event_0.csv,0.617761224594,0.807268892025,1
AIR,event,d48,event_1.csv,0.580983788042,0.76660637056,1
AIR,event,d48,event_2.csv,0.564687989343,0.783339843158,1
AIR,event,d48,event_3.csv,0.522872932127,0.756504190538,1
AIR,event,d48,event_4.csv,0.503663565522,0.77525427817,1
AIR,event,d48,event_5.csv,0.521152774882,0.755145434978,1
AIR,event,d48,event_6.csv,0.510412523188,0.756845287661,1
AIR,event,d48,event_7.csv,0.504204889706,0.778352400132,1
AIR,horizon_avg,d12,AVERAGE,0.599607749169,0.797913931936,8
AIR,horizon_avg,d24,AVERAGE,0.536654152607,0.725571088161,8
AIR,horizon_avg,d36,AVERAGE,0.546938145945,0.731051857569,8
AIR,horizon_avg,d48,AVERAGE,0.540717460925,0.772414587153,8
AIR,overall_avg,ALL,AVERAGE,0.555979377162,0.756737866205,4
GMAN,event,d12,event_0.csv,0.660321586066,0.814746280028,1
GMAN,event,d12,event_1.csv,0.602169398065,0.792098571051,1
GMAN,event,d12,event_2.csv,0.60632341543,0.792139604057,1
GMAN,event,d12,event_3.csv,0.599117643864,0.788019129072,1
GMAN,event,d12,event_4.csv,0.597450708575,0.78917672313,1
GMAN,event,d12,event_5.csv,0.587374123631,0.787461149997,1
GMAN,event,d12,event_6.csv,0.586185711801,0.783205855992,1
GMAN,event,d12,event_7.csv,0.59912367848,0.788172210284,1
GMAN,event,d24,event_0.csv,0.878160198459,1.11426123707,1
GMAN,event,d24,event_1.csv,0.786832163291,1.01591638645,1
GMAN,event,d24,event_2.csv,0.707530555727,0.914668081822,1
GMAN,event,d24,event_3.csv,0.692775961001,0.975540110794,1
GMAN,event,d24,event_4.csv,0.678664471474,0.955581013601,1
GMAN,event,d24,event_5.csv,0.666277214386,0.941717034178,1
GMAN,event,d24,event_6.csv,0.724887879942,0.981525125804,1
GMAN,event,d24,event_7.csv,0.69333183799,0.933577637861,1
GMAN,event,d36,event_0.csv,0.878905332227,1.11025046933,1
GMAN,event,d36,event_1.csv,0.730702085109,1.03608522804,1
GMAN,event,d36,event_2.csv,0.658922328558,0.891112614845,1
GMAN,event,d36,event_3.csv,0.669049024658,0.952201519331,1
GMAN,event,d36,event_4.csv,0.622550564417,0.869357117052,1
GMAN,event,d36,event_5.csv,0.642970617335,0.923598538644,1
GMAN,event,d36,event_6.csv,0.711902905185,1.02039366418,1
GMAN,event,d36,event_7.csv,0.694615613699,0.991158256418,1
GMAN,event,d48,event_0.csv,0.823045085892,1.08682502385,1
GMAN,event,d48,event_1.csv,0.916832408396,1.20449422707,1
GMAN,event,d48,event_2.csv,0.761438157185,0.973399223489,1
GMAN,event,d48,event_3.csv,0.65779031178,0.947428680655,1
GMAN,event,d48,event_4.csv,0.671127084403,0.884531846395,1
GMAN,event,d48,event_5.csv,0.637233058829,0.901727411724,1
GMAN,event,d48,event_6.csv,0.808525766736,1.14632497542,1
GMAN,event,d48,event_7.csv,0.681439342189,0.987297810926,1
GMAN,horizon_avg,d12,AVERAGE,0.604758283239,0.791877440451,8
GMAN,horizon_avg,d24,AVERAGE,0.728557535284,0.979098328447,8
GMAN,horizon_avg,d36,AVERAGE,0.701202308898,0.974269675981,8
GMAN,horizon_avg,d48,AVERAGE,0.744678901926,1.01650364994,8
GMAN,overall_avg,ALL,AVERAGE,0.694799257337,0.940437273705,4
PewLSTM,event,d12,event_0.csv,0.425797778609,0.652124207984,1
PewLSTM,event,d12,event_1.csv,0.388173843377,0.637494252288,1
PewLSTM,event,d12,event_2.csv,0.439966159501,0.677008907651,1
PewLSTM,event,d12,event_3.csv,0.359223685905,0.621042911322,1
PewLSTM,event,d12,event_4.csv,0.385546892588,0.639390093029,1
PewLSTM,event,d12,event_5.csv,0.36705416635,0.621146394663,1
PewLSTM,event,d12,event_6.csv,0.351486996607,0.598667337424,1
PewLSTM,event,d12,event_7.csv,0.367394236733,0.631696674844,1
PewLSTM,event,d24,event_0.csv,0.374802656892,0.573051853569,1
PewLSTM,event,d24,event_1.csv,0.349534505357,0.550962771334,1
PewLSTM,event,d24,event_2.csv,0.334387170699,0.549074910928,1
PewLSTM,event,d24,event_3.csv,0.307637761567,0.530848548858,1
PewLSTM,event,d24,event_4.csv,0.319688453856,0.530433810983,1
PewLSTM,event,d24,event_5.csv,0.310624451542,0.530600743523,1
PewLSTM,event,d24,event_6.csv,0.371344407875,0.659148036853,1
PewLSTM,event,d24,event_7.csv,0.322916782299,0.534433242133,1
PewLSTM,event,d36,event_0.csv,0.569511121807,0.875226571669,1
PewLSTM,event,d36,event_1.csv,0.407610746057,0.598163162784,1
PewLSTM,event,d36,event_2.csv,0.363065386528,0.568751642848,1
PewLSTM,event,d36,event_3.csv,0.37759567332,0.577827611974,1
PewLSTM,event,d36,event_4.csv,0.393227513343,0.677092699216,1
PewLSTM,event,d36,event_5.csv,0.335837836441,0.619171029749,1
PewLSTM,event,d36,event_6.csv,0.347563185952,0.55501928805,1
PewLSTM,event,d36,event_7.csv,0.386367265129,0.585266737974,1
PewLSTM,event,d48,event_0.csv,0.555801151744,0.784330659382,1
PewLSTM,event,d48,event_1.csv,0.510235645136,0.729339447563,1
PewLSTM,event,d48,event_2.csv,0.463902423736,0.672758215166,1
PewLSTM,event,d48,event_3.csv,0.384958035212,0.614446927387,1
PewLSTM,event,d48,event_4.csv,0.492819965261,0.750243175481,1
PewLSTM,event,d48,event_5.csv,0.433085664304,0.68233397555,1
PewLSTM,event,d48,event_6.csv,0.51842669596,0.789491365983,1
PewLSTM,event,d48,event_7.csv,0.475757694915,0.726783210158,1
PewLSTM,horizon_avg,d12,AVERAGE,0.385580469959,0.634821347401,8
PewLSTM,horizon_avg,d24,AVERAGE,0.336367023761,0.557319239773,8
PewLSTM,horizon_avg,d36,AVERAGE,0.397597341072,0.632064843033,8
PewLSTM,horizon_avg,d48,AVERAGE,0.479373409534,0.718715872084,8
PewLSTM,overall_avg,ALL,AVERAGE,0.399729561081,0.635730325572,4
Prophet,event,d12,event_0.csv,0.409217314083,0.672720876567,1
Prophet,event,d12,event_1.csv,,,0
Prophet,event,d12,event_2.csv,,,0
Prophet,event,d12,event_3.csv,,,0
Prophet,event,d12,event_4.csv,,,0
Prophet,event,d12,event_5.csv,,,0
Prophet,event,d12,event_6.csv,,,0
Prophet,event,d12,event_7.csv,,,0
Prophet,event,d24,event_0.csv,0.383091178542,0.614928517577,1
Prophet,event,d24,event_1.csv,0.364277398012,0.606844538361,1
Prophet,event,d24,event_2.csv,0.370123847029,0.60917219358,1
Prophet,event,d24,event_3.csv,0.353401458797,0.605484907398,1
Prophet,event,d24,event_4.csv,0.350493566642,0.605302272511,1
Prophet,event,d24,event_5.csv,0.351265098962,0.605338262052,1
Prophet,event,d24,event_6.csv,0.350786198961,0.605324820236,1
Prophet,event,d24,event_7.csv,0.351005461335,0.605328653727,1
Prophet,event,d36,event_0.csv,0.396040921141,0.641612610183,1
Prophet,event,d36,event_1.csv,0.380707788176,0.635634506361,1
Prophet,event,d36,event_2.csv,0.382008483692,0.636651892023,1
Prophet,event,d36,event_3.csv,0.366589774693,0.633790756551,1
Prophet,event,d36,event_4.csv,0.363847455829,0.633634242113,1
Prophet,event,d36,event_5.csv,0.364605208917,0.633670197502,1
Prophet,event,d36,event_6.csv,0.364495447915,0.633671137225,1
Prophet,event,d36,event_7.csv,0.364983771758,0.633691803236,1
Prophet,event,d48,event_0.csv,0.405218995899,0.659329114364,1
Prophet,event,d48,event_1.csv,0.392624795999,0.653092286274,1
Prophet,event,d48,event_2.csv,0.390514878844,0.653388893274,1
Prophet,event,d48,event_3.csv,0.373525662504,0.650456106142,1
Prophet,event,d48,event_4.csv,0.37227261652,0.650388947577,1
Prophet,event,d48,event_5.csv,0.372809068719,0.650414195233,1
Prophet,event,d48,event_6.csv,0.372277955551,0.650393986018,1
Prophet,event,d48,event_7.csv,0.373227558319,0.650454435941,1
Prophet,horizon_avg,d12,AVERAGE,0.409217314083,0.672720876567,1
Prophet,horizon_avg,d24,AVERAGE,0.359305526035,0.60721552068,8
Prophet,horizon_avg,d36,AVERAGE,0.372909856515,0.635294643149,8
Prophet,horizon_avg,d48,AVERAGE,0.381558941544,0.652239745603,8
Prophet,overall_avg,ALL,AVERAGE,0.380747909544,0.6418676965,4
UCDGPT,event,d12,event_0.csv,0.438427656473,0.645587671891,1
UCDGPT,event,d12,event_1.csv,0.380664753669,0.617575589941,1
UCDGPT,event,d12,event_2.csv,0.369928467738,0.627085782459,1
UCDGPT,event,d12,event_3.csv,0.362519010322,0.632612029172,1
UCDGPT,event,d12,event_4.csv,0.354616301433,0.60893125839,1
UCDGPT,event,d12,event_5.csv,0.380806588311,0.637503722209,1
UCDGPT,event,d12,event_6.csv,0.350530548159,0.610618853426,1
UCDGPT,event,d12,event_7.csv,0.356078831698,0.606003936794,1
UCDGPT,event,d24,event_0.csv,0.434179786431,0.728778676889,1
UCDGPT,event,d24,event_1.csv,0.335323425648,0.546038748207,1
UCDGPT,event,d24,event_2.csv,0.355910063956,0.578438908174,1
UCDGPT,event,d24,event_3.csv,0.315236798947,0.560117188238,1
UCDGPT,event,d24,event_4.csv,0.31406155838,0.566466525926,1
UCDGPT,event,d24,event_5.csv,0.338194914117,0.617913755266,1
UCDGPT,event,d24,event_6.csv,0.337740805052,0.592302848541,1
UCDGPT,event,d24,event_7.csv,0.321906949365,0.556755546712,1
UCDGPT,event,d36,event_0.csv,0.371752947473,0.602566629412,1
UCDGPT,event,d36,event_1.csv,0.348379817105,0.541006616463,1
UCDGPT,event,d36,event_2.csv,0.317174756286,0.557066104919,1
UCDGPT,event,d36,event_3.csv,0.415654940029,0.705512205878,1
UCDGPT,event,d36,event_4.csv,0.288176139429,0.522347910587,1
UCDGPT,event,d36,event_5.csv,0.335275145445,0.597791689277,1
UCDGPT,event,d36,event_6.csv,0.304436124592,0.549465235145,1
UCDGPT,event,d36,event_7.csv,0.300610119386,0.515968723408,1
UCDGPT,event,d48,event_0.csv,0.395712438509,0.628385361987,1
UCDGPT,event,d48,event_1.csv,0.348944025342,0.594785295736,1
UCDGPT,event,d48,event_2.csv,0.355106051231,0.606657778806,1
UCDGPT,event,d48,event_3.csv,0.330562969953,0.585347601014,1
UCDGPT,event,d48,event_4.csv,0.312898338038,0.569834980193,1
UCDGPT,event,d48,event_5.csv,0.357305926882,0.608900184755,1
UCDGPT,event,d48,event_6.csv,0.309099233913,0.572784268882,1
UCDGPT,event,d48,event_7.csv,0.344510434241,0.593339794179,1
UCDGPT,horizon_avg,d12,AVERAGE,0.374196519725,0.623239855535,8
UCDGPT,horizon_avg,d24,AVERAGE,0.344069287737,0.593351524744,8
UCDGPT,horizon_avg,d36,AVERAGE,0.335182498718,0.573965639386,8
UCDGPT,horizon_avg,d48,AVERAGE,0.344267427264,0.595004408194,8
UCDGPT,overall_avg,ALL,AVERAGE,0.349428933361,0.596390356965,4
